,filename,date,starttime,duration,stoptime,angle
71,/home/ctorney/data/tz-2017//ir/DJI_0430.MP4,2017-05-02,08:36:31.135000,00:02:46,08:39:18.010000,162.1
72,/home/ctorney/data/tz-2017//ir/DJI_0431.MP4,2017-05-02,08:40:49.926667,00:02:55,08:43:45.010000,162.1
73,/home/ctorney/data/tz-2017//ir/DJI_0453.MP4,2017-05-03,05:12:45.260000,00:03:40,05:16:26.010000,163.5
74,/home/ctorney/data/tz-2017//ir/DJI_0454.MP4,2017-05-03,05:16:33.885000,00:02:06,05:18:40.010000,163.5
75,/home/ctorney/data/tz-2017//ir/DJI_0455.MP4,2017-05-03,05:19:00.926667,00:09:20,05:28:21.010000,162.7
76,/home/ctorney/data/tz-2017//ir/DJI_0510.MP4,2017-05-06,05:13:48.885000,00:09:21,05:23:10.010000,-17.5
77,/home/ctorney/data/tz-2017//ir/DJI_0511.MP4,2017-05-06,05:23:12.218333,00:09:19,05:32:32.010000,-17.5
78,/home/ctorney/data/tz-2017//ir/DJI_0512.MP4,2017-05-06,05:32:34.260000,00:06:59,05:39:34.010000,-17.5
79,/home/ctorney/data/tz-2017//ir/DJI_0513.MP4,2017-05-06,05:39:37.385000,00:00:08,05:39:46.010000,-17.5
80,/home/ctorney/data/tz-2017//ir/DJI_0514_LionCall.MP4,2017-05-06,05:41:14.510000,00:09:19,05:50:34.010000,-19.8
81,/home/ctorney/data/tz-2017//ir/DJI_0515.MP4,2017-05-06,05:50:36.385000,00:03:46,05:54:23.010000,-19.8
82,/home/ctorney/data/tz-2017//ir/DJI_0516.MP4,2017-05-06,06:11:54.760000,00:00:11,06:12:06.010000,156.4
83,/home/ctorney/data/tz-2017//ir/DJI_0517.MP4,2017-05-06,06:12:08.843333,00:06:28,06:18:37.010000,156.4
84,/home/ctorney/data/tz-2017//ir/DJI_0518.MP4,2017-05-06,06:18:39.593333,00:04:30,06:23:10.010000,161.1
85,/home/ctorney/data/tz-2017//ir/DJI_0519.MP4,2017-05-06,06:25:54.718333,00:00:02,06:25:57.010000,154.6
86,/home/ctorney/data/tz-2017//ir/DJI_0520.MP4,2017-05-06,06:25:58.968333,00:00:44,06:26:43.010000,154.6
87,/home/ctorney/data/tz-2017//ir/DJI_0522.MP4,2017-05-06,06:29:10.593333,00:00:01,06:29:12.010000,154.6
88,/home/ctorney/data/tz-2017//ir/DJI_0523.MP4,2017-05-06,06:29:15.260000,00:02:42,06:31:58.010000,154.6
89,/home/ctorney/data/tz-2017//ir/DJI_0524.MP4,2017-05-06,06:32:30.301667,00:04:27,06:36:58.010000,154.6
